"overdose_deaths","year","fipscounty","county","state","fipsstate"
18,2018,47001,"ANDERSON","TN","47"
34,2017,47001,"ANDERSON","TN","47"
24,2016,47001,"ANDERSON","TN","47"
20,2015,47001,"ANDERSON","TN","47"
7,2018,47003,"BEDFORD","TN","47"
3,2017,47003,"BEDFORD","TN","47"
1,2016,47003,"BEDFORD","TN","47"
8,2015,47003,"BEDFORD","TN","47"
1,2018,47005,"BENTON","TN","47"
5,2017,47005,"BENTON","TN","47"
1,2016,47005,"BENTON","TN","47"
4,2015,47005,"BENTON","TN","47"
3,2018,47007,"BLEDSOE","TN","47"
2,2017,47007,"BLEDSOE","TN","47"
2,2016,47007,"BLEDSOE","TN","47"
1,2015,47007,"BLEDSOE","TN","47"
30,2018,47009,"BLOUNT","TN","47"
29,2017,47009,"BLOUNT","TN","47"
21,2016,47009,"BLOUNT","TN","47"
19,2015,47009,"BLOUNT","TN","47"
17,2018,47011,"BRADLEY","TN","47"
14,2017,47011,"BRADLEY","TN","47"
7,2016,47011,"BRADLEY","TN","47"
10,2015,47011,"BRADLEY","TN","47"
3,2018,47013,"CAMPBELL","TN","47"
5,2017,47013,"CAMPBELL","TN","47"
4,2016,47013,"CAMPBELL","TN","47"
16,2015,47013,"CAMPBELL","TN","47"
3,2018,47015,"CANNON","TN","47"
3,2017,47015,"CANNON","TN","47"
3,2016,47015,"CANNON","TN","47"
3,2015,47015,"CANNON","TN","47"
0,2018,47017,"CARROLL","TN","47"
2,2017,47017,"CARROLL","TN","47"
1,2016,47017,"CARROLL","TN","47"
1,2015,47017,"CARROLL","TN","47"
12,2018,47019,"CARTER","TN","47"
16,2017,47019,"CARTER","TN","47"
14,2016,47019,"CARTER","TN","47"
10,2015,47019,"CARTER","TN","47"
21,2018,47021,"CHEATHAM","TN","47"
24,2017,47021,"CHEATHAM","TN","47"
13,2016,47021,"CHEATHAM","TN","47"
15,2015,47021,"CHEATHAM","TN","47"
1,2018,47023,"CHESTER","TN","47"
1,2017,47023,"CHESTER","TN","47"
2,2016,47023,"CHESTER","TN","47"
3,2015,47023,"CHESTER","TN","47"
1,2018,47025,"CLAIBORNE","TN","47"
2,2017,47025,"CLAIBORNE","TN","47"
2,2016,47025,"CLAIBORNE","TN","47"
3,2015,47025,"CLAIBORNE","TN","47"
1,2018,47027,"CLAY","TN","47"
2,2017,47027,"CLAY","TN","47"
6,2016,47027,"CLAY","TN","47"
2,2015,47027,"CLAY","TN","47"
6,2018,47029,"COCKE","TN","47"
6,2017,47029,"COCKE","TN","47"
4,2016,47029,"COCKE","TN","47"
5,2015,47029,"COCKE","TN","47"
13,2018,47031,"COFFEE","TN","47"
12,2017,47031,"COFFEE","TN","47"
12,2016,47031,"COFFEE","TN","47"
8,2015,47031,"COFFEE","TN","47"
2,2018,47033,"CROCKETT","TN","47"
0,2017,47033,"CROCKETT","TN","47"
0,2016,47033,"CROCKETT","TN","47"
1,2015,47033,"CROCKETT","TN","47"
7,2018,47035,"CUMBERLAND","TN","47"
9,2017,47035,"CUMBERLAND","TN","47"
6,2016,47035,"CUMBERLAND","TN","47"
2,2015,47035,"CUMBERLAND","TN","47"
200,2018,47037,"DAVIDSON","TN","47"
184,2017,47037,"DAVIDSON","TN","47"
178,2016,47037,"DAVIDSON","TN","47"
127,2015,47037,"DAVIDSON","TN","47"
2,2018,47039,"DECATUR","TN","47"
0,2017,47039,"DECATUR","TN","47"
3,2016,47039,"DECATUR","TN","47"
5,2015,47039,"DECATUR","TN","47"
4,2018,47041,"DE KALB","TN","47"
7,2017,47041,"DE KALB","TN","47"
1,2016,47041,"DE KALB","TN","47"
2,2015,47041,"DE KALB","TN","47"
10,2018,47043,"DICKSON","TN","47"
6,2017,47043,"DICKSON","TN","47"
17,2016,47043,"DICKSON","TN","47"
16,2015,47043,"DICKSON","TN","47"
0,2018,47045,"DYER","TN","47"
