"county","year","round"
"Anderson",2015,"5.83"
"Anderson",2016,"4.85"
"Anderson",2017,"3.95"
"Anderson",2018,"3.75"
"Bedford",2015,"6.43"
"Bedford",2016,"4.94"
"Bedford",2017,"3.97"
"Bedford",2018,"3.73"
"Benton",2015,"7.68"
"Benton",2016,"7.09"
"Benton",2017,"5.42"
"Benton",2018,"4.93"
"Bledsoe",2015,"7.93"
"Bledsoe",2016,"6.94"
"Bledsoe",2017,"5.91"
"Bledsoe",2018,"5.81"
"Blount",2015,"5.18"
"Blount",2016,"4.36"
"Blount",2017,"3.55"
"Blount",2018,"3.22"
"Bradley",2015,"5.25"
"Bradley",2016,"4.45"
"Bradley",2017,"3.68"
"Bradley",2018,"3.59"
"Campbell",2015,"7.91"
"Campbell",2016,"6.88"
"Campbell",2017,"5.22"
"Campbell",2018,"4.76"
"Cannon",2015,"5.78"
"Cannon",2016,"4.61"
"Cannon",2017,"3.57"
"Cannon",2018,"3.14"
"Carroll",2015,"8.28"
"Carroll",2016,"6.70"
"Carroll",2017,"5.18"
"Carroll",2018,"4.93"
"Carter",2015,"6.44"
"Carter",2016,"5.63"
"Carter",2017,"4.57"
"Carter",2018,"4.13"
"Cheatham",2015,"4.83"
"Cheatham",2016,"3.96"
"Cheatham",2017,"3.09"
"Cheatham",2018,"2.73"
"Chester",2015,"5.87"
"Chester",2016,"4.94"
"Chester",2017,"3.99"
"Chester",2018,"3.76"
"Claiborne",2015,"7.23"
"Claiborne",2016,"6.19"
"Claiborne",2017,"4.76"
"Claiborne",2018,"4.24"
"Clay",2015,"8.86"
"Clay",2016,"6.55"
"Clay",2017,"5.16"
"Clay",2018,"4.95"
"Cocke",2015,"7.77"
"Cocke",2016,"6.30"
"Cocke",2017,"5.28"
"Cocke",2018,"4.70"
"Coffee",2015,"5.51"
"Coffee",2016,"4.68"
"Coffee",2017,"3.68"
"Coffee",2018,"3.41"
"Crockett",2015,"6.42"
"Crockett",2016,"5.22"
"Crockett",2017,"4.16"
"Crockett",2018,"3.84"
"Cumberland",2015,"7.07"
"Cumberland",2016,"5.91"
"Cumberland",2017,"4.67"
"Cumberland",2018,"4.36"
"Davidson",2015,"4.39"
"Davidson",2016,"3.60"
"Davidson",2017,"2.82"
"Davidson",2018,"2.63"
"Decatur",2015,"7.88"
"Decatur",2016,"6.86"
"Decatur",2017,"5.25"
"Decatur",2018,"4.76"
"DeKalb",2015,"6.86"
"DeKalb",2016,"5.54"
"DeKalb",2017,"4.83"
"DeKalb",2018,"4.43"
"Dickson",2015,"5.45"
"Dickson",2016,"4.33"
"Dickson",2017,"3.38"
"Dickson",2018,"3.01"
"Dyer",2015,"7.18"
"Dyer",2016,"6.18"
"Dyer",2017,"4.86"
"Dyer",2018,"4.58"
"Fayette",2015,"6.18"
"Fayette",2016,"5.01"
"Fayette",2017,"4.03"
"Fayette",2018,"3.73"
"Fentress",2015,"7.28"
"Fentress",2016,"6.14"
"Fentress",2017,"4.56"
"Fentress",2018,"4.17"
"Franklin",2015,"5.83"
"Franklin",2016,"4.85"
"Franklin",2017,"3.95"
"Franklin",2018,"3.75"
"Gibson",2015,"6.43"
"Gibson",2016,"4.94"
"Gibson",2017,"3.97"
"Gibson",2018,"3.73"
"Giles",2015,"7.68"
"Giles",2016,"7.09"
"Giles",2017,"5.42"
"Giles",2018,"4.93"
"Grainger",2015,"7.93"
"Grainger",2016,"6.94"
"Grainger",2017,"5.91"
"Grainger",2018,"5.81"
"Greene",2015,"5.18"
"Greene",2016,"4.36"
"Greene",2017,"3.55"
"Greene",2018,"3.22"
"Grundy",2015,"5.25"
"Grundy",2016,"4.45"
"Grundy",2017,"3.68"
"Grundy",2018,"3.59"
"Hamblen",2015,"7.91"
"Hamblen",2016,"6.88"
"Hamblen",2017,"5.22"
"Hamblen",2018,"4.76"
"Hamilton",2015,"5.78"
"Hamilton",2016,"4.61"
"Hamilton",2017,"3.57"
"Hamilton",2018,"3.14"
"Hancock",2015,"8.28"
"Hancock",2016,"6.70"
"Hancock",2017,"5.18"
"Hancock",2018,"4.93"
"Hardeman",2015,"6.44"
"Hardeman",2016,"5.63"
"Hardeman",2017,"4.57"
"Hardeman",2018,"4.13"
"Hardin",2015,"4.83"
"Hardin",2016,"3.96"
"Hardin",2017,"3.09"
"Hardin",2018,"2.73"
"Hawkins",2015,"5.87"
"Hawkins",2016,"4.94"
"Hawkins",2017,"3.99"
"Hawkins",2018,"3.76"
"Haywood",2015,"7.23"
"Haywood",2016,"6.19"
"Haywood",2017,"4.76"
"Haywood",2018,"4.24"
"Henderson",2015,"8.86"
"Henderson",2016,"6.55"
"Henderson",2017,"5.16"
"Henderson",2018,"4.95"
"Henry",2015,"7.77"
"Henry",2016,"6.30"
"Henry",2017,"5.28"
"Henry",2018,"4.70"
"Hickman",2015,"5.51"
"Hickman",2016,"4.68"
"Hickman",2017,"3.68"
"Hickman",2018,"3.41"
"Houston",2015,"6.42"
"Houston",2016,"5.22"
"Houston",2017,"4.16"
"Houston",2018,"3.84"
"Humphreys",2015,"7.07"
"Humphreys",2016,"5.91"
"Humphreys",2017,"4.67"
"Humphreys",2018,"4.36"
"Jackson",2015,"4.39"
"Jackson",2016,"3.60"
"Jackson",2017,"2.82"
"Jackson",2018,"2.63"
"Jefferson",2015,"7.88"
"Jefferson",2016,"6.86"
"Jefferson",2017,"5.25"
"Jefferson",2018,"4.76"
"Johnson",2015,"6.86"
"Johnson",2016,"5.54"
"Johnson",2017,"4.83"
"Johnson",2018,"4.43"
"Knox",2015,"5.45"
"Knox",2016,"4.33"
"Knox",2017,"3.38"
"Knox",2018,"3.01"
"Lake",2015,"7.18"
"Lake",2016,"6.18"
"Lake",2017,"4.86"
"Lake",2018,"4.58"
"Lauderdale",2015,"6.18"
"Lauderdale",2016,"5.01"
"Lauderdale",2017,"4.03"
"Lauderdale",2018,"3.73"
"Lawrence",2015,"7.28"
"Lawrence",2016,"6.14"
"Lawrence",2017,"4.56"
"Lawrence",2018,"4.17"
"Lewis",2015,"5.83"
"Lewis",2016,"4.85"
"Lewis",2017,"3.95"
"Lewis",2018,"3.75"
"Lincoln",2015,"6.43"
"Lincoln",2016,"4.94"
"Lincoln",2017,"3.97"
"Lincoln",2018,"3.73"
"Loudon",2015,"7.68"
"Loudon",2016,"7.09"
"Loudon",2017,"5.42"
"Loudon",2018,"4.93"
"Macon",2015,"5.25"
"Macon",2016,"4.45"
"Macon",2017,"3.68"
"Macon",2018,"3.59"
"Madison",2015,"7.91"
"Madison",2016,"6.88"
"Madison",2017,"5.22"
"Madison",2018,"4.76"
"Marion",2015,"5.78"
"Marion",2016,"4.61"
"Marion",2017,"3.57"
"Marion",2018,"3.14"
"Marshall",2015,"8.28"
"Marshall",2016,"6.70"
"Marshall",2017,"5.18"
"Marshall",2018,"4.93"
"Maury",2015,"6.44"
"Maury",2016,"5.63"
"Maury",2017,"4.57"
"Maury",2018,"4.13"
